questionId,topic,question,answerCount,answerId,author,answerText
import_q032,Software/Coding,I am about to put my first website on the internet and I am terrified. What if people hack it?,2,import_a0064,Kurt,Nobody is going to find it unless you tell them about it! Do not worry.
import_q032,Software/Coding,I am about to put my first website on the internet and I am terrified. What if people hack it?,2,import_a0065,Lisa,"If it is just simple text and pictures, there is nothing to hack. Try hosting it for free on [Netlify](https://www.netlify.com/)."
import_q033,Hardware/Gifts,Is getting a second screen for my computer actually worth the money?,3,import_a0066,Phil,Yes. It will completely change your life. You can never go back.
import_q033,Hardware/Gifts,Is getting a second screen for my computer actually worth the money?,3,import_a0067,Ruby,I put my email on one screen and my work on the other. It is amazing.
import_q033,Hardware/Gifts,Is getting a second screen for my computer actually worth the money?,3,import_a0068,Doug,You do not even need an expensive one. Find a cheap used screen on [eBay](https://www.ebay.com/).
import_q034,Productivity Tools,Working for 25 minutes and taking a 5 minute break feels so dumb to me. Am I doing it wrong?,1,import_a0069,Nina,"That method does not work for everyone. If you are focused, just keep working! Do not let a timer stop you."
import_q035,Cybersecurity/Privacy,"People say to use a password manager, but what if that gets hacked? Then they have everything!",2,import_a0070,Jake,"That is a scary thought, but they are built like a giant bank vault. It is much safer than using the same password everywhere."
import_q035,Cybersecurity/Privacy,"People say to use a password manager, but what if that gets hacked? Then they have everything!",2,import_a0071,Tara,I recommend [Bitwarden](https://bitwarden.com/). It is free and highly trusted by experts.
import_q036,AI,Can I use AI to figure out what to cook for dinner with just the random stuff in my fridge?,3,import_a0072,Eric,Yes! I do this all the time. Just list your ingredients and ask for a simple recipe.
import_q036,AI,Can I use AI to figure out what to cook for dinner with just the random stuff in my fridge?,3,import_a0073,Mona,It is surprisingly good at baking recipes too.
import_q036,AI,Can I use AI to figure out what to cook for dinner with just the random stuff in my fridge?,3,import_a0074,Gwen,"Check out [SuperCook](https://www.supercook.com/), it is a website specifically made for doing exactly this!"
import_q037,UX/UI Design,Why is it so hard to find the actual movie categories on TV streaming menus now?,1,import_a0075,Joel,They want to force you to look at their original shows first. It is totally on purpose.
import_q038,Software/Coding,Are those three-month coding schools actually legit or just a scam to take my money?,0,,,
import_q039,Hardware/Gifts,My back hurts from sitting. Is a standing desk actually worth it?,4,import_a0076,Burt,"Yes, but you need a soft mat to stand on or your feet will hurt instead."
import_q039,Hardware/Gifts,My back hurts from sitting. Is a standing desk actually worth it?,4,import_a0077,Cora,I got one and I never stand up. It just became an expensive normal desk.
import_q039,Hardware/Gifts,My back hurts from sitting. Is a standing desk actually worth it?,4,import_a0078,Walt,I totally recommend [IKEA](https://www.ikea.com/) for cheap ones that use a crank handle.
import_q039,Hardware/Gifts,My back hurts from sitting. Is a standing desk actually worth it?,4,import_a0079,Judy,"Mix it up! Stand for an hour, sit for an hour."
import_q040,Productivity Tools,Is having zero unread emails actually possible or do people just lie about it?,2,import_a0080,Brad,"I just select all and mark as read. Boom, zero emails."
import_q040,Productivity Tools,Is having zero unread emails actually possible or do people just lie about it?,2,import_a0081,Lana,It takes a lot of daily work. Unsubscribing from junk is the real secret.
import_q041,Cybersecurity/Privacy,Is it really that dangerous to use the free wifi at a coffee shop?,2,import_a0082,Neil,"Not as much as it used to be, since most websites use secure locks now."
import_q041,Cybersecurity/Privacy,Is it really that dangerous to use the free wifi at a coffee shop?,2,import_a0083,Olga,"If you are checking your bank account, use your phone data instead."
import_q042,AI,What is a safe tool to help me rewrite angry emails so I do not get fired?,1,import_a0084,Wade,Put it in [GoblinTools](https://goblin.tools/). They have a feature that changes the tone of your text to make it polite!
import_q043,UX/UI Design,Why are car companies putting climate controls on touch screens? It feels so dangerous.,3,import_a0085,Toby,Screens are cheaper to build than a bunch of plastic buttons.
import_q043,UX/UI Design,Why are car companies putting climate controls on touch screens? It feels so dangerous.,3,import_a0086,Katy,I completely agree. I have to take my eyes off the road just to turn on the heater.
import_q043,UX/UI Design,Why are car companies putting climate controls on touch screens? It feels so dangerous.,3,import_a0087,Leon,Some car makers are finally bringing buttons back because everyone complained.
import_q044,Software/Coding,"I copy code from tutorials and it works, but I feel like I learn nothing. How do I stop?",2,import_a0088,Ivan,"Type it out by hand. Even if you are copying, typing makes your brain remember it better."
import_q044,Software/Coding,"I copy code from tutorials and it works, but I feel like I learn nothing. How do I stop?",2,import_a0089,Gina,Try to change one small thing about the code after you copy it.
import_q045,Hardware/Gifts,My office is really dark and I look terrible on Zoom. What is a cheap way to fix this?,2,import_a0090,Rudy,Do not buy a new camera! Just buy a cheap desk lamp and point it at the wall behind your computer.
import_q045,Hardware/Gifts,My office is really dark and I look terrible on Zoom. What is a cheap way to fix this?,2,import_a0091,Faye,A cheap ring light from [Amazon](https://www.amazon.com/) works wonders for bad lighting.
import_q046,Productivity Tools,I have too many ideas in my head. Is there an easy app to draw out my thoughts?,1,import_a0092,Hugo,I highly recommend [Miro](https://miro.com/). It is basically a giant digital whiteboard you can draw all over.
import_q047,Cybersecurity/Privacy,Why do some unsubscribe buttons at the bottom of emails just take me to an error page?,0,,,
import_q048,AI,Will AI eventually just write all the code and make programmers useless?,2,import_a0093,Alex,It will just write the boring parts. We will still need humans to figure out what actually needs to be built.
import_q048,AI,Will AI eventually just write all the code and make programmers useless?,2,import_a0094,Dawn,Coding is mostly problem-solving. The AI is just a really fast typing assistant.
import_q049,UX/UI Design,Those tests that make you click on crosswalks to prove you are human are getting impossible.,3,import_a0095,Ross,I swear I clicked all the bicycles but it still failed me!
import_q049,UX/UI Design,Those tests that make you click on crosswalks to prove you are human are getting impossible.,3,import_a0096,Macy,"It is because robots are getting smarter, so the tests have to get harder."
import_q049,UX/UI Design,Those tests that make you click on crosswalks to prove you are human are getting impossible.,3,import_a0097,Kirk,I read an article on [Wired](https://www.wired.com/) about this. We are actually training their self-driving cars for free.
import_q050,Software/Coding,Why do programmers argue so much about using the tab key versus the space bar?,2,import_a0098,Owen,It is just an old joke at this point. Use whatever you like!
import_q050,Software/Coding,Why do programmers argue so much about using the tab key versus the space bar?,2,import_a0099,Vicky,"Spaces look the same on every computer, while tabs can look messy. But modern editors fix it for you anyway."
import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,6,import_a0100,Dave123,I think it is because most people use phones now. Big text and pictures are much easier to tap on a small screen.
import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,6,import_a0101,WebFan,A lot of people just use website builders like [Squarespace](https://www.squarespace.com/) which give everyone the exact same basic templates.
import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,6,import_a0102,DesignNerd,"It is actually about making things easy to read quickly. When websites look similar, people do not have to learn how to use them every single time."
import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,6,import_a0103,CodeNewbie,I was stuck too! I highly recommend [Codecademy](https://www.codecademy.com/). It lets you type code right in your web browser so you do not have to install anything complicated.
import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,6,import_a0104,PythonPro,Start by trying to fix one small problem in your daily life. Do not try to build a huge video game on day one.
import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,6,import_a0105,SarahJ,Check this out: YouTube has amazing free videos. Just search for Python for absolute beginners. Watching someone else do it really helps.
import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,8,import_a0106,PaperLover,"Honestly, no. A plain paper notebook never runs out of battery and it does not distract you with internet notifications."
import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,8,import_a0107,NotionFan,It depends on what you need! I use [Notion](https://www.notion.so/) because I can search for words easily. You cannot use a search bar on a piece of paper.
import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,8,import_a0108,BusyMom,I tried it and gave up. It felt like I was spending more time organizing my tasks than actually doing them.
import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,8,import_a0109,TechStudent,"In my experience, it is great if you use a free template someone else already made. Do not build it from scratch."
import_q054,Hardware/Gifts,My budget is 50 dollars. What is the absolute best computer mouse I can get for my office job?,4,import_a0110,MouseGuy,I recommend the Logitech M720. It is usually under 50 dollars and you can connect it to different computers with one button.
import_q054,Hardware/Gifts,My budget is 50 dollars. What is the absolute best computer mouse I can get for my office job?,4,import_a0111,OfficeWorker,"Actually, just get a basic wired mouse. They never die, never need batteries, and cost like 10 bucks on [Amazon](https://www.amazon.com/)."
import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,8,import_a0112,TechTruth,"In my experience, they are not actually recording your voice. They just track what you search for and where you travel. It is creepy but they are not listening to your actual words."
import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,8,import_a0113,PrivacyFirst,You can turn off microphone access for apps in your phone settings if you are worried! It helps give you some peace of mind.
import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,8,import_a0114,AdGuy,It is usually just a coincidence. You probably searched for something similar recently or your friend searched for it while you were on the same Wi-Fi.
import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,8,import_a0115,SafeWeb,"If you want to stop the ads, check out the [Brave Browser](https://brave.com/). It blocks a lot of those creepy trackers automatically."
import_q056,AI,Will ChatGPT actually take my job or is it just hype? I work in answering customer service emails.,0,,,
import_q057,UX/UI Design,Why do websites hide the menu behind those three little horizontal lines? I can never find anything.,4,import_a0116,PhoneUser,That is called a hamburger menu! Designers use it to save space on small screens so the page does not look messy.
import_q057,UX/UI Design,Why do websites hide the menu behind those three little horizontal lines? I can never find anything.,4,import_a0117,OldSchool,I hate it too. I prefer when all the buttons are just at the top of the page so I know exactly where to click.
import_q058,Hardware/Gifts,I spilled a whole glass of water on my laptop keyboard. I turned it off. What do I do right now?!,6,import_a0118,FixItFelix,Keep it turned off! Do not turn it on to check if it works. Unplug it and lay it open face down on a towel for at least two days.
import_q058,Hardware/Gifts,I spilled a whole glass of water on my laptop keyboard. I turned it off. What do I do right now?!,6,import_a0119,TechSupport,"If you can easily take the battery out, do that immediately. But most new laptops do not let you do that, so just let it dry completely."
import_q058,Hardware/Gifts,I spilled a whole glass of water on my laptop keyboard. I turned it off. What do I do right now?!,6,import_a0120,RiceMyth,"Whatever you do, do not put it in rice! Rice dust can get inside and ruin the fans. You can read why on [iFixit](https://www.ifixit.com/)."
import_q059,Productivity Tools,I have 500 unread emails and the number keeps growing. How do I fix this without deleting everything?,6,import_a0121,InboxZero,Search for the word unsubscribe and delete all those automatic emails first. That will clear out half of your inbox right away.
import_q059,Productivity Tools,I have 500 unread emails and the number keeps growing. How do I fix this without deleting everything?,6,import_a0122,BusyWorker,"I recommend putting all of your older emails into a folder called Archive. They are not deleted, so you can still search for them later, but your main screen will be clean."
import_q059,Productivity Tools,I have 500 unread emails and the number keeps growing. How do I fix this without deleting everything?,6,import_a0123,LazyGenius,"Honestly, just ignore the number. If it is really important, the person will email you again."
import_q060,Software/Coding,What is the best programming language to learn if I want to make a simple iPhone game?,4,import_a0124,GameDev,"If you only want it on iPhone, look into Swift. It is made by Apple specifically for their phones."
import_q060,Software/Coding,What is the best programming language to learn if I want to make a simple iPhone game?,4,import_a0125,UnityFan,"I highly recommend using [Unity](https://unity.com/). You learn C# with it, and it lets you put your game on iPhone and Android at the same time."
import_q061,Cybersecurity/Privacy,I clicked a link in a random text message about a package delivery. Did I just ruin my phone?,4,import_a0126,SecurityPro,"If you just clicked the link but did not type in any passwords or download anything, you are probably fine. Just close the page."
import_q061,Cybersecurity/Privacy,I clicked a link in a random text message about a package delivery. Did I just ruin my phone?,4,import_a0127,ScamHater,Never put your credit card info into those sites! That is how they steal your money. They trick you into paying a tiny delivery fee.
import_q062,AI,How does an AI actually generate a picture from just a few words? It feels like magic.,4,import_a0128,AI_Nerd,"It looked at millions of pictures on the internet and learned what things look like. When you say cat, it remembers the pattern of a cat from all those photos."
import_q062,AI,How does an AI actually generate a picture from just a few words? It feels like magic.,4,import_a0129,SimpleScience,Think of it like a very fast artist who has memorized every drawing in the world and tries to blend them together based on your instructions.
import_q063,UX/UI Design,Dark mode is actually terrible for reading long articles. Am I the only one who thinks this?,6,import_a0130,SammyG,I completely agree! My eyes hurt so much when reading bright white text on a super black background.
import_q063,UX/UI Design,Dark mode is actually terrible for reading long articles. Am I the only one who thinks this?,6,import_a0131,TechFan,"Actually, dark mode saves battery on newer phone screens. But yes, it can make you squint if you read for too long."
import_q063,UX/UI Design,Dark mode is actually terrible for reading long articles. Am I the only one who thinks this?,6,import_a0132,DesignPro,"It is all about the gray tones. Good dark mode uses dark gray, not pure black. Check out the [Material Design Guide](https://m3.material.io/) to see how they fix this."
import_q064,Hardware/Gifts,What is the difference between a cheap 5 dollar TV cable and an expensive 50 dollar one?,4,import_a0133,TVGuy,"For regular digital cables like HDMI, there is absolutely no difference in picture quality. It either works or it does not. Save your money."
import_q064,Hardware/Gifts,What is the difference between a cheap 5 dollar TV cable and an expensive 50 dollar one?,4,import_a0134,GamerDude,"In my experience, the only difference is how strong the cord is. Cheap ones might break if you bend them too much, but the picture is the exact same."
import_q065,Productivity Tools,I need a simple app to share a grocery list with my wife. What do you all use?,6,import_a0135,FamilyMan,We just use the Notes app that comes on the iPhone. You can share it and both people can check things off.
import_q065,Productivity Tools,I need a simple app to share a grocery list with my wife. What do you all use?,6,import_a0136,ListLover,I recommend [AnyList](https://www.anylist.com/). It automatically sorts your food into categories like dairy and produce so you walk through the store faster.
import_q065,Productivity Tools,I need a simple app to share a grocery list with my wife. What do you all use?,6,import_a0137,GoogleFan,Google Keep is amazing for this. It is totally free and works even if one of you has an Android and the other has an iPhone.
import_q066,Software/Coding,Learning to code is a total waste of time now that AI can write it for you. Right?,4,import_a0138,CodeVeteran,"Not at all. AI is like a fancy calculator. It can do the math, but you still need to know what numbers to type in to get the right answer."
import_q066,Software/Coding,Learning to code is a total waste of time now that AI can write it for you. Right?,4,import_a0139,TechRealist,"AI makes a lot of mistakes. If you do not know how to code, you will not know how to fix the broken code it gives you."
import_q067,Cybersecurity/Privacy,What is the easiest password manager for someone who is terrible with computers?,4,import_a0140,SafeTech,"I recommend [Bitwarden](https://bitwarden.com/). It is free, very secure, and works on your phone and computer without being confusing."
import_q067,Cybersecurity/Privacy,What is the easiest password manager for someone who is terrible with computers?,4,import_a0141,AppleUser,"If you only use Apple devices, just use the built-in iCloud Keychain. It saves everything automatically and you just use your fingerprint or face to log in."
import_q068,UX/UI Design,I have to build a website for my mom's bakery by Friday and I have no clue where to start. Help!,4,import_a0142,HelpfulDesigner,"Do not panic! Use a template. Just get [Wix](https://www.wix.com/), pick a food template, change the words, and add some nice photos of her bread."
import_q068,UX/UI Design,I have to build a website for my mom's bakery by Friday and I have no clue where to start. Help!,4,import_a0143,BizOwner,"Honestly, a lot of small shops just use a Facebook page or Instagram now instead of a full website. It is much faster to set up."
import_q069,AI,I want to use AI to help me write better business emails. Is there a free tool that is good?,4,import_a0144,EmailPro,Just use the free version of ChatGPT! You can paste your messy thoughts and ask it to make it sound professional.
import_q069,AI,I want to use AI to help me write better business emails. Is there a free tool that is good?,4,import_a0145,GrammarFan,I highly recommend [Grammarly](https://www.grammarly.com/). It fixes your spelling and tone right inside your email window without you having to open a new tab.
import_q070,Hardware/Gifts,I want to buy my dad a tablet just for reading the morning news. iPad or a cheap Amazon tablet?,6,import_a0146,Daughter22,"Get an iPad if you can afford it. It will last five times longer without getting slow, and it is much easier for older folks to use."
import_q070,Hardware/Gifts,I want to buy my dad a tablet just for reading the morning news. iPad or a cheap Amazon tablet?,6,import_a0147,BudgetShopper,"If it is literally just for reading text, an Amazon Fire tablet is totally fine and saves you hundreds of dollars."
import_q070,Hardware/Gifts,I want to buy my dad a tablet just for reading the morning news. iPad or a cheap Amazon tablet?,6,import_a0148,TechDad,"In my experience, cheap tablets have awful screens. Reading on them hurts your eyes. Check out refurbished iPads on [Apple](https://www.apple.com/)."
import_q071,Productivity Tools,Why does my work chat always send me notifications even when I set my status to away?,2,import_a0149,TiredWorker,You probably have your settings on mobile pushing notifications anyway. You have to tell the app on your phone to pause notifications too.
import_q072,Software/Coding,I have been staring at this error message for two hours. It says syntax error but everything looks right!,4,import_a0150,EagleEye,"A syntax error usually means you forgot a tiny symbol, like a comma, a bracket, or a colon at the end of a line. Check the line directly above where the error is pointing!"
import_q072,Software/Coding,I have been staring at this error message for two hours. It says syntax error but everything looks right!,4,import_a0151,CodeHelper,Try copying the exact error message and pasting it into Google. I guarantee someone else had the exact same problem.
import_q073,Cybersecurity/Privacy,I actually do not care if big companies have my data. I like getting ads for things I want. Is that wrong?,4,import_a0152,PrivacyNerd,"It is your choice! The problem is not just ads, it is that if they get hacked, your personal information like your home address could be stolen by criminals."
